类型,number,销售订单号,销售请求日期,仓库实际日期,客户编号,客户组,销售员,客服,物料编号,自由文本,批次数量
SO,90001,SO-2023001,2023-01-05,2023-01-10,C001,VIP,张三,李四,M001,常规订单,480
SO,90002,SO-2023002,2023-01-08,2023-01-12,C002,标准,王五,赵六,M002,常规订单,280
SO,90003,SO-2023003,2023-01-20,2023-01-25,C003,标准,张三,李四,M001,促销,430
SO,90004,SO-2023004,2023-02-01,2023-02-05,C001,VIP,王五,赵六,M003,常规订单,130
SO,90005,SO-2023005,2023-02-15,2023-02-18,C002,标准,张三,李四,M001,批量订单,550
SO,90006,SO-2023006,2023-02-25,2023-03-02,C001,VIP,王五,赵六,M002,常规订单,320
SO,90007,SO-2023007,2023-03-05,2023-03-10,C003,标准,张三,李四,M003,常规订单,180
SO,90008,SO-2023008,2023-03-15,2023-03-20,C002,标准,王五,赵六,M001,促销,600
SO,90009,SO-2023009,2023-03-25,2023-03-30,C001,VIP,张三,李四,M002,常规订单,350
SO,90010,SO-2023010,2023-04-05,2023-04-10,C003,标准,王五,赵六,M001,常规订单,520
SO,90011,SO-2023011,2023-04-15,2023-04-20,C002,标准,张三,李四,M003,批量订单,200
SO,90012,SO-2023012,2023-04-25,2023-04-30,C001,VIP,王五,赵六,M002,常规订单,300
SO,90013,SO-2023013,2023-05-05,2023-05-10,C003,标准,张三,李四,M001,常规订单,550
SO,90014,SO-2023014,2023-05-15,2023-05-20,C002,标准,王五,赵六,M002,促销,400
SO,90015,SO-2023015,2023-05-25,2023-05-30,C001,VIP,张三,李四,M003,常规订单,220
SO,90016,SO-2023016,2023-06-05,2023-06-10,C003,标准,王五,赵六,M001,批量订单,580
SO,90017,SO-2023017,2023-06-15,2023-06-20,C002,标准,张三,李四,M002,常规订单,320
SO,90018,SO-2023018,2023-06-25,2023-06-30,C001,VIP,王五,赵六,M003,常规订单,250
SO,90019,SO-2023019,2023-07-05,2023-07-10,C003,标准,张三,李四,M001,促销,620
SO,90020,SO-2023020,2023-07-15,2023-07-20,C002,标准,王五,赵六,M002,常规订单,350
SO,90021,SO-2023021,2023-07-25,2023-07-30,C001,VIP,张三,李四,M003,批量订单,280
SO,90022,SO-2023022,2023-08-05,2023-08-10,C003,标准,王五,赵六,M001,常规订单,590
SO,90023,SO-2023023,2023-08-15,2023-08-20,C002,标准,张三,李四,M002,常规订单,370
SO,90024,SO-2023024,2023-08-25,2023-08-30,C001,VIP,王五,赵六,M003,促销,300
SO,90025,SO-2023025,2023-09-05,2023-09-10,C003,标准,张三,李四,M001,常规订单,630
SO,90026,SO-2023026,2023-09-15,2023-09-20,C002,标准,王五,赵六,M002,批量订单,400
SO,90027,SO-2023027,2023-09-25,2023-09-30,C001,VIP,张三,李四,M003,常规订单,320
SO,90028,SO-2023028,2023-10-05,2023-10-10,C003,标准,王五,赵六,M001,常规订单,650
SO,90029,SO-2023029,2023-10-15,2023-10-20,C002,标准,张三,李四,M002,促销,420
SO,90030,SO-2023030,2023-10-25,2023-10-30,C001,VIP,王五,赵六,M003,常规订单,340
SO,90031,SO-2023031,2023-11-05,2023-11-10,C003,标准,张三,李四,M001,批量订单,680
SO,90032,SO-2023032,2023-11-15,2023-11-20,C002,标准,王五,赵六,M002,常规订单,450
SO,90033,SO-2023033,2023-11-25,2023-11-30,C001,VIP,张三,李四,M003,常规订单,360
SO,90034,SO-2023034,2023-12-05,2023-12-10,C003,标准,王五,赵六,M001,促销,700
SO,90035,SO-2023035,2023-12-15,2023-12-20,C002,标准,张三,李四,M002,常规订单,480
SO,90036,SO-2023036,2023-12-25,2023-12-30,C001,VIP,王五,赵六,M003,批量订单,380
SO,100001,SO-2024001,2024-01-05,2024-01-10,C001,VIP,张三,李四,M001,常规订单,500
SO,100002,SO-2024002,2024-01-10,2024-01-15,C002,标准,王五,赵六,M002,加急,300
SO,100003,SO-2024003,2024-01-18,2024-01-22,C003,标准,张三,李四,M001,促销,450
SO,100004,SO-2024004,2024-02-05,2024-02-08,C001,VIP,王五,赵六,M003,常规订单,150
SO,100005,SO-2024005,2024-02-10,2024-02-14,C002,标准,张三,李四,M001,批量订单,600
SO,100006,SO-2024006,2024-02-20,2024-02-25,C003,标准,王五,赵六,M002,常规订单,350
SO,100007,SO-2024007,2024-03-03,2024-03-08,C001,VIP,张三,李四,M003,常规订单,200
SO,100008,SO-2024008,2024-03-12,2024-03-16,C002,标准,王五,赵六,M001,促销,650
SO,100009,SO-2024009,2024-03-22,2024-03-26,C003,标准,张三,李四,M002,常规订单,380
SO,100010,SO-2024010,2024-04-02,2024-04-06,C001,VIP,王五,赵六,M001,常规订单,550
SO,100011,SO-2024011,2024-04-12,2024-04-16,C002,标准,张三,李四,M003,批量订单,220
SO,100012,SO-2024012,2024-04-22,2024-04-26,C003,标准,王五,赵六,M002,常规订单,400
SO,100013,SO-2024013,2024-05-02,2024-05-06,C001,VIP,张三,李四,M001,常规订单,580
SO,100014,SO-2024014,2024-05-12,2024-05-16,C002,标准,王五,赵六,M002,促销,420
SO,100015,SO-2024015,2024-05-22,2024-05-26,C003,标准,张三,李四,M003,常规订单,240
SO,100016,SO-2024016,2024-06-02,2024-06-06,C001,VIP,王五,赵六,M001,批量订单,620
SO,100017,SO-2024017,2024-06-12,2024-06-16,C002,标准,张三,李四,M002,常规订单,450
SO,100018,SO-2024018,2024-06-22,2024-06-26,C003,标准,王五,赵六,M003,常规订单,260
